Which function converts an object to a string?,str(),string(),toString(),print()
Which function returns the length of a string?,len(),length(),string.length(),string.len()
What characters are used to represent a new line?,'\n','Enter','-n',' '
Given sample = 'some letters' What is sample[2]?,m,o,e,s
Given x = 'substring' What is x[3:]?,string,sub,s,b
Given s = 'no sentence' what is len(s)?,11,10,9,12
Which of the following is not an escape sequence?,\enter,\n,\',\t
Which of the following will print a string with a new line?,print('some words'),"print('some words', end=' ')","print('some words', end=',')","print('some words', end=':')"
"Given a = 'student1', which error will a[15] return?",IndexError,AttributeError,FloatingPointError,ZeroDivisionError
Which statement can be used to copy a string?,string2 = string1[:],string2 = string1,string2 = copy(string1),strcopy(string1)
"Given pi = 3.14159, what will be the ouput of print('{:.2f}'.format(pi))",3.14,3.1,31,14
